,sentiment,text,tokenized_text
0,1,... a bland murder-on-campus yawner .,"[272, 246, 5631, 1765, 4397, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
1,1,"entertaining enough , but nothing new","[3079, 2177, 603, 13, 1400, 4417, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
2,1,a party-hearty teen flick that scalds like acid .,"[246, 6537, 7500, 2140, 5203, 39, 4684, 6320, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
3,1,an absurdist spider web .,"[7038, 4919, 7724, 5667, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
4,1,"dark and disturbing , yet compelling to watch .","[4467, 3247, 2285, 603, 2118, 855, 3188, 6648, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
5,1,"flawed , but worth seeing for ambrose 's performance .","[4555, 603, 13, 4197, 6389, 7267, 5806, 7313, 1602, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
6,1,imperfect ?,"[7470, 2654, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
7,1,it 's not a great monster movie .,"[3822, 7313, 6850, 246, 5645, 2881, 5559, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
8,1,"lookin ' for sin , american-style ?","[4326, 172, 7267, 2275, 603, 1086, 2654, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
9,1,rabbit-proof fence will probably make you angry .,"[6851, 4642, 2704, 561, 924, 1894, 7519, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
10,1,the date movie that franz kafka would have made .,"[69, 469, 5559, 5203, 6059, 5940, 7197, 3555, 1234, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
11,1,the modern-day royals have nothing on these guys when it comes to scandals .,"[69, 2933, 6764, 3555, 1400, 5218, 1169, 3082, 4120, 3822, 1919, 3188, 5721, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
12,1,"the movie is well done , but slow .","[69, 5559, 1665, 5099, 6534, 603, 13, 6035, 1286, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741, 7741]"
